DOMAIN,FQDN,URL,keywordInURL,title,description,keywords,hyperlinks,admission,engineering,management,gre,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/377,False,"Public Health, Master of Public Health (Ithaca) | Graduate School",,,0,0,1,1,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/378,False,"Veterinary Medical Sciences, M.P.S. (Ithaca) | Graduate School",,,0,0,1,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/comparative-biomedical-sciences/veterinary-medicine-phd-ithaca,False,"Veterinary Medicine, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/comparative-literature,False,Comparative Literature | Graduate School,,,0,1,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/comparative-literature/comparative-literature-phd-ithaca,False,"Comparative Literature, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/computational-biology,False,Computational Biology | Graduate School,,,0,0,1,1,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/computational-biology/computational-biology-phd-ithaca,False,"Computational Biology, Ph.D. (Ithaca) | Graduate School",,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/computational-science-and-engineering-minor,True,Computational Science and Engineering (minor) | Graduate School,,,0,1,14,2,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/computer-science,False,Computer Science | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/computer-science/computer-science-meng-ithaca,False,"Computer Science, M.Eng. (Ithaca) | Graduate School",,,0,0,1,0,2,
